序号,场所名称,检验检测场所地址,领域,类别,检测对象,参数,依据的标准（方法）名称及编号（含年号）,限制范围,说明
132,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,深油炸锅、油煎锅及类似器具,非正常工作,家用和类似用途电器的安全 深油炸锅、油煎锅及类似器具的特殊要求GB 4706.56-2008,不测：三相器具,
133,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,外部接线和内部接线,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
134,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,接地规定,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
135,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,标记,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
136,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,爬电距离和电气间隙,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
137,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,结构,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,不测同 GB7000.1-2015,
138,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,绝缘电阻和电气强度,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
139,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,耐久性试验和热试验,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
140,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,耐热、耐火和耐起痕,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
141,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,防尘和防水,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
142,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,庭园用可移式灯具,防触电保护,灯具 第2-7部分:特殊要求 庭园用可移式灯具GB 7000.207-2008,,
143,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,外接软线,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：16.3 电源软线的弯曲和机械应力试验,
144,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,故障条件,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：三相器具,
145,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,机械强度,音频、视频及类似电子设备 安全要求GB 8898-2011,"不测:12.1.2 振动测试,12.3 遥控装置的机械应力测试，12.5 天线同轴插座机械应力测试",
146,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,标志和说明书,音频、视频及类似电子设备 安全要求GB 8898-2011,,
147,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,正常工作条件下的发热,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：三相器具，7.2 绝缘材料的耐热,
148,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,正常工作条件下的电击危险,音频、视频及类似电子设备 安全要求GB 8898-2011,,
149,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,电气连接和机械固定,音频、视频及类似电子设备 安全要求GB 8898-2011,,
150,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,电气间隙和爬电距离,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：13.3.4瞬态电压的测量,
151,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,稳定性和机械危险,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：19.5 玻璃破碎， 19.6 墙壁或天花板的安装方法,
152,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,防水溅设备的附加要求,音频、视频及类似电子设备 安全要求GB 8898-2011,,
153,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,防火,音频、视频及类似电子设备 安全要求GB 8898-2011,,
154,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-AV,音频、视频及类似电子设备,防电击保护的结构要求,音频、视频及类似电子设备 安全要求GB 8898-2011,不测：8.17 需附加隔层绝缘的绝缘绕组线的要求，8.18 振动试验，8.22 不可分离的薄层材料的试验,
155,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,内部布线,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
156,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,发热,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
157,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,变压器和相关电路的过载保护,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
158,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,外部导线用接线端子,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
159,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,对触及带电部件的防护,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
160,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
161,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,接地措施,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
162,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,机械强度,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
163,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,标志和说明,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
164,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,泄漏电流和电气强度,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
165,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
166,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,电源连接和外部软线,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
167,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,稳定性和机械危险,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
168,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,结构,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
169,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,耐潮湿,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：100cm×100cm×100cm以上的样品,
170,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,耐热和耐燃,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
171,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,螺钉和连接,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,,
172,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,输入功率和电流,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
173,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,灭虫器,非正常工作,家用和类似用途电器的安全 灭虫器的特殊要求GB 4706.76-2008,不测：三相器具,
174,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,内部布线,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
175,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,发热,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、三相器具,
176,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,变压器和相关电路的过载保护,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、三相器具,
177,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,外部导线用接线端子,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
178,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,对触及带电部件的防护,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
179,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、三相器具,
180,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,接地措施,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
181,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,机械强度,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、21载流软管机械强度,
182,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,标志和说明,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
183,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,泄漏电流和电气强度,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
184,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
185,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,电源连接和外部软线,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
186,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,稳定性和机械危险,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
187,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,结构,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
188,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,耐潮湿,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、15.2溢水测试、15.101跌落测试、100cm×100cm×100cm以上的样品,
189,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,耐热和耐燃,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、三相器具,
190,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,输入功率和电流,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具,
191,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,真空吸尘器和吸水式清洁器具,非正常工作,家用和类似用途电器的安全 真空吸尘器和吸水式清洁器具的特殊要求GB 4706.7-2014,不测：吸水式清洁器具、三相器具,
192,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,标记,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
193,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,爬电距离和电气间隙,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
194,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,结构,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,不测：6.6.2手提灯冲击试验，其他不测同 GB7000.1-2015,
195,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,绝缘电阻和电气强度,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
196,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,耐久性试验和热试验,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
197,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,耐热，耐火和耐电痕,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
198,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,防尘和防水,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
199,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,手提灯,防触电保护,灯具 第2-8部分:特殊要求 手提灯GB 7000.208-2008,,
200,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,电子电气产品,浪涌（冲击）抗扰度试验,电磁兼容 试验和测量技术 浪涌（冲击）抗扰度试验GB/T 17626.5-2019,不测：4kV以上，三相器具,
201,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,外部接线和内部接线,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
202,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,接地规定,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
203,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,标记,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
204,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,爬电距离和电气间隙,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
205,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,结构,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,不测同 GB7000.1-2015,
206,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,绝缘电阻和电气强度,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
207,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,耐久性试验和热试验,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
208,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,耐热、耐火和耐起痕,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
209,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,防尘、防固体异物和防水,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
210,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,水族箱灯具,防触电保护,灯具 第2-11部分:特殊要求 水族箱灯具GB 7000.211-2008,,
211,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-EMC,电子电气产品,电压暂降、短时中断和电压变化的抗扰度试验,电磁兼容 试验和测量技术 电压暂降、短时中断和电压变化的抗扰度试验GB/T 17626.11-2008,不测：三相器具,
212,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,SELV电路,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
213,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,一次电路过流保护和接地故障保护,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
214,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,危险的运动部件的防护,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
215,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,发热要求,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：三相器具,
216,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,受限制电源,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
217,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,外壳的开孔,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：4.6.2 灼热燃油试验A.3,
218,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,布线连接和供电基本要求,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
219,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,异常工作和故障条件,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：三相器具,
220,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,抗电强度,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
221,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,接地和连接保护措施,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
222,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,接触电流和保护导体电流,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：三相器具,
223,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,机械强度,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：阴极射线管的机械强度,
224,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,标志和说明,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
225,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,电击和能量危险的防护,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
226,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,电气绝缘,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
227,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,电气间隙、爬电距离和绝缘穿透距离,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：2.10.3.8 来自通信网络和电缆分配系统的瞬态值，2.10.3.9 瞬态电压的测量，2.10.5.4 半导体器件，2.10.5.12 (附录U) 无需使用隔层绝缘的绝缘绕组线，2.10.6.2 涂覆的印制板，2.10.7 组件的外部接线端子，2.10.8 涂覆印制板和涂覆元器件的试验，2.10.12 封装的和密封,
228,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,稳定性,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,不测：800N 恒定向下的力,
229,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,防火,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
230,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-IT,信息技术设备,限流电路,信息技术设备 安全 第1部分:通用要求GB 4943.1-2011,,
231,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,介电强度,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,不测：5000V以上交流耐压,
232,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,保护接地装置,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
233,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,双重绝缘或加强绝缘的内装式电感镇流器的补充要求,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,不测：高压冲击试验（附录I.11）,
234,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,带热保护器的灯的电子控制装置的特殊要求,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
235,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,故障状态,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
236,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,无负载输出电压,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
237,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,标志,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
238,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,热保护式灯的控制装置的特殊要求,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
239,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,爬电距离和电气间隙,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
240,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,结构,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
241,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,耐热、防火及耐漏电起痕,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
242,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,螺钉、载流部件和连接件,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
243,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,镇流器绕组的耐热试验,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
244,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,防止意外接触带电部件的措施,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
245,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,灯的控制装置,防潮与绝缘,灯的控制装置 第1部分:一般要求和安全要求GB 19510.1-2009,,
246,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,外部接线和内部接线,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
247,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,接地规定,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
248,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,无螺纹接线端子,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
249,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,标记,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
250,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,爬电距离和电气间隙,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
251,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,结构,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,不测同 GB7000.1-2015,
252,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,绝缘电阻和电气强度,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
253,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,耐久性试验和热试验,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,不测：100cm×100cm×100cm以上的样品的耐久性试验,
254,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,耐热、耐火和耐电痕,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
255,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,防尘、防固体异物和防水,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,不测：100cm×100cm×100cm以上的样品的潮湿试验,
256,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-照明,电源插座安装的夜灯,防触电保护,灯具 第2-12部分:特殊要求 电源插座安装的夜灯GB 7000.212-2008,,
257,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,内部布线,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
258,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,发热,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
259,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,变压器和相关电路的过载保护,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
260,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,外部导线用接线端子,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
261,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,对触及带电部件的防护,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
262,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,工作温度下的泄漏电流和电气强度,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：三相器具,
263,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,接地措施,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：嵌入式加热器,
264,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,机械强度,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
265,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,标志和说明,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
266,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,泄漏电流和电气强度,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
267,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,电气间隙、爬电距离和固体绝缘,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
268,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,电源连接和外部软线,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
269,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,稳定性和机械危险,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
270,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,结构,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,,
271,某检测技术服务有限公司,实际地址,产品质量检验,电子电气-家用电器,厨房机械,耐潮湿,家用和类似用途电器的安全 厨房机械的特殊要求GB 4706.30-2008,不测：100cm×100cm×100cm以上的样品,
